,path_id,event_template,cluster_id,corr,participant_id,apply_to_event
0,sameEv-sameSchema,2,2,0.024150889750407113,sub-108,2
1,sameEv-sameSchema,2,2,-0.0018924236421264148,sub-108,3
2,sameEv-sameSchema,2,2,-0.001436407458099167,sub-108,4
3,sameEv-sameSchema,2,2,0.001336939577707358,sub-140,2
4,sameEv-sameSchema,2,2,0.0032573245054486805,sub-140,3
5,sameEv-sameSchema,2,2,-0.015982028116740245,sub-140,4
6,sameEv-sameSchema,2,2,0.021868773835948294,sub-133,2
7,sameEv-sameSchema,2,2,-0.05086493095526465,sub-133,3
8,sameEv-sameSchema,2,2,-0.07481631616495084,sub-133,4
9,sameEv-sameSchema,2,2,0.06451518639277985,sub-134,2
10,sameEv-sameSchema,2,2,0.036262320273599435,sub-134,3
11,sameEv-sameSchema,2,2,0.035687389009280805,sub-134,4
12,sameEv-sameSchema,2,2,0.022864146070996738,sub-106,2
13,sameEv-sameSchema,2,2,-0.016502368924986747,sub-106,3
14,sameEv-sameSchema,2,2,-0.007517667513086586,sub-106,4
15,sameEv-sameSchema,2,2,0.06016867742621359,sub-124,2
16,sameEv-sameSchema,2,2,0.031616951323861935,sub-124,3
17,sameEv-sameSchema,2,2,-0.0063726802002275675,sub-124,4
18,sameEv-sameSchema,2,2,-0.06658362930525687,sub-123,2
19,sameEv-sameSchema,2,2,-0.06168615792096476,sub-123,3
20,sameEv-sameSchema,2,2,-0.04747342662313567,sub-123,4
21,sameEv-sameSchema,2,2,-0.02622546338603001,sub-142,2
22,sameEv-sameSchema,2,2,-0.03745487076983152,sub-142,3
23,sameEv-sameSchema,2,2,0.02876167518842849,sub-142,4
24,sameEv-sameSchema,2,2,0.07473748979493822,sub-126,2
25,sameEv-sameSchema,2,2,0.014353869519281463,sub-126,3
26,sameEv-sameSchema,2,2,-0.01814940585530427,sub-126,4
27,sameEv-sameSchema,2,2,0.044923653040999566,sub-105,2
28,sameEv-sameSchema,2,2,0.03605733068602045,sub-105,3
29,sameEv-sameSchema,2,2,0.024688839414349475,sub-105,4
30,sameEv-sameSchema,2,2,0.01600670478011631,sub-109,2
31,sameEv-sameSchema,2,2,-0.006415903538155072,sub-109,3
32,sameEv-sameSchema,2,2,0.01674999924962777,sub-109,4
33,sameEv-sameSchema,2,2,0.0003959836806328203,sub-127,2
34,sameEv-sameSchema,2,2,-0.0030027681229889635,sub-127,3
35,sameEv-sameSchema,2,2,0.006326282836286859,sub-127,4
36,sameEv-sameSchema,2,2,-0.014835038178936676,sub-111,2
37,sameEv-sameSchema,2,2,-0.015381275362579955,sub-111,3
38,sameEv-sameSchema,2,2,-0.002188565528502062,sub-111,4
39,sameEv-sameSchema,2,2,-0.04541768717283743,sub-138,2
40,sameEv-sameSchema,2,2,-0.060097000612303685,sub-138,3
41,sameEv-sameSchema,2,2,-0.02291910537626665,sub-138,4
42,sameEv-sameSchema,2,2,0.023333104128738624,sub-103,2
43,sameEv-sameSchema,2,2,0.008238718904576704,sub-103,3
44,sameEv-sameSchema,2,2,-0.0035969353299235623,sub-103,4
45,sameEv-sameSchema,2,2,-0.021617076615455845,sub-118,2
46,sameEv-sameSchema,2,2,0.011404205235796968,sub-118,3
47,sameEv-sameSchema,2,2,0.014297190156317533,sub-118,4
48,sameEv-sameSchema,2,2,-0.014855590190916469,sub-104,2
49,sameEv-sameSchema,2,2,-0.020933095315276328,sub-104,3
50,sameEv-sameSchema,2,2,-0.04845114927003791,sub-104,4
51,sameEv-sameSchema,2,2,-0.03641084744874274,sub-141,2
52,sameEv-sameSchema,2,2,-0.03311836505323909,sub-141,3
53,sameEv-sameSchema,2,2,-0.05887694071130459,sub-141,4
54,sameEv-sameSchema,2,2,-0.018252964379423035,sub-132,2
55,sameEv-sameSchema,2,2,-0.04317913935311908,sub-132,3
56,sameEv-sameSchema,2,2,-0.023746390709792113,sub-132,4
57,sameEv-sameSchema,2,2,0.019958262934779213,sub-135,2
58,sameEv-sameSchema,2,2,0.004834216521394619,sub-135,3
59,sameEv-sameSchema,2,2,0.011549068337895624,sub-135,4
60,sameEv-sameSchema,2,2,-0.021317621504584498,sub-136,2
61,sameEv-sameSchema,2,2,0.00411344371330845,sub-136,3
62,sameEv-sameSchema,2,2,-0.02394971532778492,sub-136,4
63,sameEv-sameSchema,2,2,0.03114668595805277,sub-117,2
64,sameEv-sameSchema,2,2,-0.012009120098906928,sub-117,3
65,sameEv-sameSchema,2,2,-0.014146585210280817,sub-117,4
66,sameEv-sameSchema,2,2,0.028138902350111083,sub-112,2
67,sameEv-sameSchema,2,2,-0.01094886063487487,sub-112,3
68,sameEv-sameSchema,2,2,-0.007027051667627153,sub-112,4
69,sameEv-sameSchema,2,2,0.011798050014625533,sub-139,2
70,sameEv-sameSchema,2,2,-0.01379549131369163,sub-139,3
71,sameEv-sameSchema,2,2,-0.03957286939321912,sub-139,4
72,sameEv-sameSchema,2,2,0.03197373375516491,sub-110,2
73,sameEv-sameSchema,2,2,0.0041941717660112475,sub-110,3
74,sameEv-sameSchema,2,2,0.0012471559629529698,sub-110,4
75,sameEv-sameSchema,2,2,0.00855828548064852,sub-115,2
76,sameEv-sameSchema,2,2,-0.03217943689229344,sub-115,3
77,sameEv-sameSchema,2,2,-0.03203246214780394,sub-115,4
78,sameEv-sameSchema,2,2,0.05147555245223923,sub-125,2
79,sameEv-sameSchema,2,2,0.04093163613184872,sub-125,3
80,sameEv-sameSchema,2,2,0.030224689213181763,sub-125,4
81,sameEv-sameSchema,2,2,0.078628205044248,sub-137,2
