,path_id,event_template,cluster_id,corr,participant_id,apply_to_event
0,sameEv-sameSchema,2,1,0.1061792019075931,sub-135,2
1,sameEv-sameSchema,2,1,0.042817288344248215,sub-135,3
2,sameEv-sameSchema,2,1,0.005499495388191657,sub-135,4
3,sameEv-sameSchema,2,1,0.06915316111674169,sub-129,2
4,sameEv-sameSchema,2,1,0.023702965388524788,sub-129,3
5,sameEv-sameSchema,2,1,0.013347661913213165,sub-129,4
6,sameEv-sameSchema,2,1,0.15514678858777306,sub-137,2
7,sameEv-sameSchema,2,1,0.04171170418187281,sub-137,3
8,sameEv-sameSchema,2,1,0.04741242719841993,sub-137,4
9,sameEv-sameSchema,2,1,0.0777871501093021,sub-128,2
10,sameEv-sameSchema,2,1,0.01952927113016376,sub-128,3
11,sameEv-sameSchema,2,1,-0.007507452007198899,sub-128,4
12,sameEv-sameSchema,2,1,0.10347453185052569,sub-113,2
13,sameEv-sameSchema,2,1,0.05547588955406684,sub-113,3
14,sameEv-sameSchema,2,1,0.01393502693345982,sub-113,4
15,sameEv-sameSchema,2,1,0.050387468394892006,sub-105,2
16,sameEv-sameSchema,2,1,0.010226481652752056,sub-105,3
17,sameEv-sameSchema,2,1,0.01118109627305909,sub-105,4
18,sameEv-sameSchema,2,1,0.10261155144910111,sub-112,2
19,sameEv-sameSchema,2,1,0.018605016539185844,sub-112,3
20,sameEv-sameSchema,2,1,-0.012304279358096307,sub-112,4
21,sameEv-sameSchema,2,1,0.07088976804994439,sub-124,2
22,sameEv-sameSchema,2,1,0.01093989807778833,sub-124,3
23,sameEv-sameSchema,2,1,-0.029458708797847108,sub-124,4
24,sameEv-sameSchema,2,1,0.06576229095938599,sub-134,2
25,sameEv-sameSchema,2,1,0.01963549217617354,sub-134,3
26,sameEv-sameSchema,2,1,-0.006340962918062187,sub-134,4
27,sameEv-sameSchema,2,1,0.1158699793515816,sub-103,2
28,sameEv-sameSchema,2,1,0.02591018899248463,sub-103,3
29,sameEv-sameSchema,2,1,0.021964603746937962,sub-103,4
30,sameEv-sameSchema,2,1,0.024793368115995085,sub-132,2
31,sameEv-sameSchema,2,1,-0.02524413785848799,sub-132,3
32,sameEv-sameSchema,2,1,-0.05644671007682189,sub-132,4
33,sameEv-sameSchema,2,1,-0.054945220338161155,sub-119,2
34,sameEv-sameSchema,2,1,-0.05724728269926161,sub-119,3
35,sameEv-sameSchema,2,1,-0.013417362395640555,sub-119,4
36,sameEv-sameSchema,2,1,0.07451604607793708,sub-126,2
37,sameEv-sameSchema,2,1,-0.030915302808745347,sub-126,3
38,sameEv-sameSchema,2,1,-0.03809796759652721,sub-126,4
39,sameEv-sameSchema,2,1,-0.04638533765389723,sub-118,2
40,sameEv-sameSchema,2,1,-0.004487683618290765,sub-118,3
